STT,Tên doanh nghiệp,Tên viết tắt,Loại hình doanh nghiệp,Lĩnh vực hoạt động,Vốn điều lệ (VND),Website,Điện thoại,Fax,Địa chỉ trụ sở,Tên người đại diện theo pháp luật,Đơn vị XHTN gần nhất,Kết quả XHTN gần nhất,Ngày hiệu lực
483,MKHC - Công ty TNHH Đầu tư Phát triển Mỹ Khánh,My Khanh company,Công ty trách nhiệm hữu hạn,Bất động sản,4E+11,0,2838380303,0,"108, Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TP.Hồ Chí Minh",Trần Kiên,,,
484,MKIC - CTCP Tư vấn Đầu tư và Kỹ thuật Mê Kông,MITCO CO.LTD,Công ty cổ phần,Lĩnh vực khác,3.4E+11,,2838380304,2839246130,"LẦU 6, TÒA NHÀ LE MERIDIEN, SỐ 3C TÔN ĐỨC THẮNG, PHƯỜNG BẾN NGHÉ, QUẬN 1, TP HỒ CHÍ MINH",,,,
485,MLOC - CÔNG TY CỔ PHẦN DỊCH VỤ CAO ỐC MASTERISE LUMIERE OFFICE,MASTERISE LUMIERE OFFICE JSC.,Công ty cổ phần,Bất động sản,4.25466E+12,,325830188,0,"Lô TMDV-02 Khu đô thị mới Bắc Sông Cấm, Phường Thủy Nguyên, Thành phố Hải Phòng, Việt Nam",,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB+,28/07/2026
486,MMJC - Công ty Cổ phần Marina Mekong,MMJC,Công ty cổ phần,Bất động sản,1.5E+11,mmjh.marina@gmail.com,938485538,938485538,"65 Nguyễn Du, Phường Bến Nghé, Quận 1, TP.HCM",Lê Thanh Liêm,,,
487,MML - CTCP Masan MeatLife,Masan MEATLife,Công ty cổ phần,Lĩnh vực khác,3.26715E+12,http://masanmeatlife.com.vn,2862563862,2838274115,"Lầu 10, Tòa nhà Central Plaza, số 17 Lê Duẩn, P. Bến Nghé, Q. 1, Tp. HCM",Danny Le,,,
488,MNAC - CÔNG TY TNHH MAVIN AUSTFEED NGHỆ AN,MAVIN AUSTFEED NGHE AN,Công ty trách nhiệm hữu hạn,Sản xuất,2E+11,www.mavin-group.com,0,0,"Khu B - KCN Nam Cấm, KKT Đông Nam, xã Trung Lộc, tỉnh Nghệ An",Lưu Quốc Hưng; Trần Việt Thắng; Đào Mạnh Hòa,,,
489,MNRC - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ DỊCH VỤ ĐẤT XANH MIỀN NAM,ĐXMN,Công ty cổ phần,Bất động sản,2.724E+11,https://datxanhmiennam.com.vn,1900232427,2838996353,"27 Đinh Bộ Lĩnh, Phường 24, Quận Bình Thạnh, Tp. Hồ Chí Minh",Đỗ Văn Mạnh,,,
490,MNVC - CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIVI VIỆT NAM,"MIVI VINA CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,2.1E+11,tc.maihongnhung@gmail.com,2435772308,2435772308,"số 24 Quang Trung, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",Đặng Hữu Huy,,,
491,MNXC - CTCP XUẤT NHẬP KHẨU KHOÁNG SẢN,"MINEXPORT.,JSC",Công ty cổ phần,Lĩnh vực khác,8E+11,www.minex.vn,2437173026,2437173026,"Số 28, phố Bà Triệu, Phường Hàng Bài, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",ĐẶNG THU TRANG,,,
492,MPLC - CÔNG TY CỔ PHẦN ĐẦU TƯ TỔ HỢP THƯƠNG MẠI MELINH PLAZA THANH HÓA,"MELINH PLAZA THANH HOA.,JSC",Công ty cổ phần,"Thương mại, dịch vụ",1.06E+12,,968578972,0,"Tầng 5, Shophouse B Tòa nhà Eurowindow Tower, Khu đô thị Eurowindow Garden City, Phường Hạc Thành, Tỉnh Thanh Hóa, Việt Nam",,,,
493,MRBC - Công ty Cổ phần Maroon Bells,MBJSC,Công ty cổ phần,Lĩnh vực khác,1.04138E+12,https://www.pharmacity.vn/,2873076888,2873076888,"248A Nơ Trang Long, Phường 12, Quận Bình Thạnh, Tp. Hồ Chí Minh",,,,
494,MREC - CTCP bất động sản Mỹ,AME PROPERTY,Công ty cổ phần,Bất động sản,1.621E+12,bondame@bdsmy.com.vn,948228293,2438584517,"Tòa nhà 54A Nguyễn Chí Thanh, Láng Thượng, Hà Nội",Vũ Thùy Duyên,,,
495,MRVC - Công ty TNHH Kinh doanh Bất động sản Dream City Villas (TÊN CŨ:CT TNHH KINH DOANH BẤT ĐỘNG SẢN TÂN LIÊN PHÁT SÀI GÒN),DREAM CITY VILLAS LLCC,Công ty trách nhiệm hữu hạn,Bất động sản,1.9587E+12,Không có,2835475555,2835475555,"Tòa nhà Sabay Tower, số 11A Hồng Hà, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Thu Hương; Phan Thị Hải Lý,,,
496,MSB - Ngân hàng TMCP Hàng Hải Việt Nam,MSB,Công ty cổ phần,Tổ chức tín dụng,3.12E+13,msb.com.vn,024 3771 8899,024 3771 8899,"54A Nguyễn Chí Thanh, Phường Láng, TP Hà Nội",,Moody's Ratings,Ba3,26/11/2025
497,MSFC - Công ty Tài chính tín dụng tiêu dùng TNHH MB Shinsei (Tên cũ: Công ty Tài chính TNHH MB Shinsei),MSFC,Công ty trách nhiệm hữu hạn,Tổ chức tín dụng,1.6E+12,https://mcredit.com.vn/,024 371086888,024 371086888,"Tầng 9,10,11,12 Tòa nhà MB Bank, Số 21 Cát Linh, phường Ô Chợ Dừa, Hà Nội",Lê Quốc Ninh; Vũ Thị Hải Phượng,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),A-,12/6/2025
498,MSGC - CTCP MAY- DIÊM SÀI GÒN,SAIGON GARMENT - MATCH JOINT STOCK COMPANY,Công ty cổ phần,Bất động sản,5.049E+12,không có,983183943,9401697,"346 Bến Vân Đồn , P.1, Q.4, TP.HCM",Nguyễn Chi Mai,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBBB-,19/08/2025
499,MSHC - CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI MỸ SƠN 2,DIEN MY SON 2,Công ty cổ phần,Sản xuất,3.5E+11,myson22020@gmail.com,2437946868,2437946969,"THÔN PHÚ THUẬN, XÃ MỸ SƠN, HUYỆN NINH SƠN, TỈNH BÌNH THUẬN, VIỆT NAM",Đặng Thanh Bình,,,
500,MSMC - CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI MỸ SƠN 1,DIEN MY SON 1,Công ty cổ phần,Sản xuất,4.1E+11,myson112082020@gmail.com,2437946868,2437946969,"THÔN PHÚ THUẬN, XÃ MỸ SƠN, HUYỆN NINH SƠN, TỈNH BÌNH THUẬN, VIỆT NAM",Đặng Thanh Bình,,,
501,MSN - Công ty Cổ phần Tập đoàn Masan,Masan Group,Công ty cổ phần,Lĩnh vực khác,1.52049E+13,https://masangroup.com/,2862563862,2838274115,"Số 23 Lê Duẩn, Phường Sài Gòn, Thành phố Hồ Chí Minh, Việt Nam",,,,
502,MSR - CTCP Masan High-tech Materials,MASAN HIGH-TECH MATERIALS CORPORATION,Công ty cổ phần,Lĩnh vực khác,1.09916E+13,MASANGROUP.COM/MASANRESOURCES,2862563862,2838274115,"Số 23 Lê Duẩn, Phường Sài Gòn, TP HCM",,,,
503,MST - Công ty Cổ phần Đầu tư MST,MST,Công ty cổ phần,Lĩnh vực khác,7.60043E+11,www.mmst.com.vn,2466744305,2435553592,"Số 2, Ngõ 159 phố Tây Sơn, Thị trấn Phùng, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",,,,
504,MTDC - Công ty cổ phần đầu tư đường Mặt Trời,"SUNWAY INVESTMENT., JSC",Công ty cổ phần,"Thương mại, dịch vụ",1.5E+11,www.ssireit.com.vn,024 39366733,024 39366732,"1C Ngô Quyền, Phường Hoàn Kiếm, Thành Phố Hà Nội",Hà Việt Thắng,,,
505,MTJC - CTCP Đá Mỹ thuật,CTCP Đá Mỹ thuật,Công ty cổ phần,Sản xuất,3E+11,tramnth@nhattien.com.vn,(028) 22211777,2822211777,"Số 10 Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP.HCM, Việt Nam",Phạm Thanh Tùng,,,
506,MTPC - Công ty Cổ phần Xây dựng Minh Trường Phú,Minh Truong Phu,Công ty cổ phần,Xây dựng,4.6E+11,congtyminhtruongphu.com,028 2216 3542,028 2216 3542,"64 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Đậu Thị Nguyệt,,,
507,MTSC - Công ty Cổ phần Đầu tư Metro Star,METRO STAR INVESTMENT,Công ty cổ phần,Bất động sản,1.188E+12,https://metrostar.vn/,907896565,907896565,"360 Võ Nguyên Giáp, Phường Phước Long A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,,,
508,MTUC - Công ty TNHH Đầu tư và Phát triển Đô thị Minh Tân,Minh Tan Urban LLC,Công ty trách nhiệm hữu hạn,Bất động sản,1.46625E+12,dothiminhtan.com,84 28 3848 6539,84 28 3848 6539,"VP 05.17 Lầu 5, số 277 Võ Nguyên Giáp, Khu phố 4, Phường An Khánh, Thành phố Hồ Chí Minh, Việt Nam",Phạm Kiều My,,,
509,MVJC - CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỊA ỐC MAI VIÊN,MVJ,Công ty cổ phần,Bất động sản,3.6E+11,http://mvj.vn/,2838212184,2838212184,"Tầng hầm B1 đến tầng 7, khu phức hợp Cantavil Premier, số 1 đường Song Hành, phường An Phú, thành phố Thủ Đức, thành phố Hồ Chí Minh",Nguyễn Thảo Phương,,,
510,MVTC - Công ty TNHH Mặt trời Vũng Tàu,"SUN VUNG TAU CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,2.257E+13,,945687799,949359119,"Khu đô thị đường 3 tháng 2, phường Phước Thắng, Thành phố Hồ Chí Minh, Việt Nam",TRẦN LAN ANH,,,
511,MWG - Công ty cổ phần Đầu tư Thế Giới Di Động,MWG,Công ty cổ phần,Lĩnh vực khác,475431197,mwg.vn,2838125960,2838125961,"Số 222 Yersin, Phường Phú Cường, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",,,,
512,MYPC - Công ty TNHH Đầu tư và Kinh doanh Địa ốc Mỹ Phú,Công ty TNHH Đầu tư và Kinh doanh Địa ốc Mỹ Phú,Công ty trách nhiệm hữu hạn,Bất động sản,6.65E+11,none,865851300,835174488,"Tầng L11, Tòa nhà Vincom Center Đồng Khởi, 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh, Việt Nam",Nguyễn Văn Phúc,,,
513,MZNC - Công ty TNHH Miza Nghi Sơn,Miza Nghi Sơn,Công ty trách nhiệm hữu hạn,Sản xuất,1.0216E+12,https://www.miza.vn/vi,2377778668,2377778668,"Khu công nghiệp số 05 thuộc Khu kinh tế Nghi Sơn, Xã Trường Lâm, Tỉnh Thanh Hóa",,,,
514,NAB - Ngân hàng Thương mại Cổ phần Nam Á,NAM A BANK,Công ty cổ phần,Tổ chức tín dụng,2.05882E+13,www.namabank.com.vn,839296699,839296688,"201-203 Cách Mạng Tháng Tám, Phường Bàn Cờ, TP Hồ Chí Minh",,Moody's Ratings,B2,12/2/2026
515,NAKC - CÔNG TY CP CÔNG NGHỆ KHẢI AN,CTY CP CÔNG NGHỆ KHẢI AN,Công ty cổ phần,Lĩnh vực khác,1.06E+11,http://congtynamkhang.com.vn,933878932,2838944990,"Phòng 702A tầng 7, tòa nhà Centre Point, 106 Nguyễn Văn Trỗi, P.8, Q. Phú Nhuận, TPHCM, Việt Nam",LÊ NGUYỄN NGỌC TRƯỜNG ÂN,,,
516,NALC - Công ty TNHH Nam Land,NALC,Công ty trách nhiệm hữu hạn,Bất động sản,3.35E+11,GOTECLAND.VN,838330888,838330888,"Tầng 3, Tòa nhà An Phú Plaza, 117-119 Lý Chính Thắng, Phường 07, Quận 03, Thành phố Hồ Chí Minh",,,,
517,NANC - Công ty cổ phần Đầu tư và Kinh Doanh Nam An,NANC,Công ty cổ phần,"Thương mại, dịch vụ",6.8E+12,không có,886068499,2432002677,"CL9-06-Khu đô thị Vinhomes Ocean Park 2 - The Empire, Xã Nghĩa Trụ, Huyện Văn Giang, Tỉnh Hưng Yên",Hoàng Quốc Thủy,,,
518,NBB - Công ty cổ phần Đầu tư Năm Bảy Bảy,Công ty NBB,Công ty cổ phần,Bất động sản,1.00476E+12,www.nbb.com.vn,862577577,862577755,"Tòa nhà CII TOWER, 152 Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TP. Hồ Chí Minh",Lưu Hải Ca; Lưu Hải Ca; Nguyễn Bá Lân; Nguyễn Bá Lân,,,
519,NBCC - Công ty TNHH Tư vấn Đầu tư Nguyên Bình,Nguyên Bình,Công ty trách nhiệm hữu hạn,Bất động sản,3E+11,Không có,349588303,349588303,"Tầng 11, Toà nhà Sunshine Center, 16 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Tp. Hà Nội",NGUYỄN VĂN CƯỜNG,,,
520,NCGC - CÔNG TY CỔ PHẦN TẬP ĐOÀN NAM CƯỜNG HÀ NỘI,NAM CUONG HA NOI GROUP,Công ty cổ phần,Lĩnh vực khác,4.5E+12,namcuong.com.vn,2463251888,2463251888,"LÔ 24 ĐƯỜNG ĐÔNG A, KHU ĐÔ THỊ MỚI HÒA VƯỢNG, XÃ LỘC HÒA, TP NAM ĐỊNH, TỈNH NAM ĐỊNH",Lê Văn Cương,,,
521,NCLC - Công ty TNHH Đâu tư và Phát triển Bất động sản Nice Star,NCLC,Công ty trách nhiệm hữu hạn,Bất động sản,100000000,nicestar.cbonds@gmail.com,399991745,399991745,"Số 2.01, Tầng 2, Khu thương mại – dịch vụ, Dự án khu thương mại, dịch vụ, văn phòng, officetel và căn hộ tại số 08 đường Hoàng Minh Giám, Phường Phú Nhuận, TP.HCM, Việt Nam",Lý Trường An,,,
522,NCRC - Công ty Cổ phần Câu lạc bộ Du thuyền và nghỉ dưỡng Cam Ranh,NCRC,Công ty cổ phần,Bất động sản,1.7E+11,https://vinhnhatrang.com.vn/,2583522032,2583522032,"Số 2 Nguyễn Thị Minh Khai, phường Lộc Thọ, thành phố Nha Trang, tỉnh Khánh Hòa",Lê Anh Đức,,,
523,NDTC - Công ty TNHH Nam Đại Thành Phú Quốc,NDT,Công ty trách nhiệm hữu hạn,Bất động sản,7E+11,https://tanadaithanh.vn/,903910565,2839714338,"Xóm 2 Ấp 7 Phường An Thới, Thành phố Phú Quốc, tỉnh Kiên Giang",Nguyễn Thị Mai Phương,,,
524,NELC - Công ty cổ phần Công nghệ Thương mại GIGA1,GIGA1,Công ty cổ phần,"Thương mại, dịch vụ",3.6E+11,netlink.vn,2462698999,2462691999,"Tầng 4, Tòa nhà Star Tower, lô D32 Khu đô thị mới Cầu Giấy, phường Yên Hòa, Quận Cầu Giấy, Tp.HCM",LÊ PHƯƠNG THẢO,,,
525,NEOC - Công ty CP Neo Floor (tên cũ là: CÔNG TY CỔ PHẦN SẢN XUẤT VÀ CÔNG NGHỆ VẬT LIỆU HOÀNG GIA PHA LÊ),NEO FLOOR,Công ty cổ phần,Sản xuất,6E+11,neofloor.com.vn,2258830102,2258830102,"Lô CN4.1 Khu Công nghiệp Minh Phương Đình Vũ, Khu Kinh tế Đình Vũ – Cát Hải, Phường Đông Hải 2, Quận Hải An, Thành phố Hải Phòng, Việt Nam",,,,
526,NEWC - Công ty cổ phần đầu tư và phát triển NEWCO,NEWCO JSC,Công ty cổ phần,Bất động sản,1.15E+12,,2877727789,0,"Phòng 1, lầu 2, 02 Song Hành, Phường An Phú, TP. Thủ Đức, TP. Hồ Chí Minh",Nguyễn Hữu Điển,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB-,25/11/2024
527,NFSC - CTCP NOVA FINAL SOLUTION,NOVA FINAL SOLUTION JSC,Công ty cổ phần,Bất động sản,3.586E+12,không có,89665121,0,"Số 5.07 Khu chung cư kết hợp thương mại, văn phòng lô X (Sunrise City North), số 27 Nguyễn Hữu Thọ, Phường Tân Hưng, Thành phố Hồ Chí Minh, Việt Nam.",Bùi Đạt Chương,,,
528,NGMC - CT TNHH ĐẦU TƯ VÀ BẤT ĐỘNG SẢN NGỌC MINH,NGOC MINH (HNX),Công ty trách nhiệm hữu hạn,Bất động sản,3.5E+11,không có,938485358,938485358,"Căn Thương mại số 1.01, Tầng 1, Khu Thương mại – Dịch vụ thuộc Khu II, Cao ốc Văn phòng – Thương mại dịch vụ, Căn hộ The Prince Residence, số 17-19-21 Nguyễn Văn Trỗi, Phường Phú Nhuận, TP Hồ Chí Minh",Võ Thị Kim Khoa,,,
529,NHHC - Công ty CP Đầu tư & Xây dựng Thủy điện Nậm Hồng,CTCP TĐ Nậm Hồng,Công ty cổ phần,Sản xuất,2.44534E+11,Không có,2123856160,0,"Số 234, Ngõ 8, Đường Chu Văn Thịnh, Tổ 11, Phường Tô Hiệu, tỉnh Sơn La",,,,
530,NHPC - Công ty cổ phần Bất động sản Ngôi nhà Hạnh phúc,Công ty cổ phần Bất động sản Ngôi nhà Hạnh phúc,Công ty cổ phần,Bất động sản,50000000000,0,2839333789,0,"96 Lũy Bán Bích, Phường Tân Thới Hòa, Quận Tân Phú, TP. Hồ Chí Minh",,,,
531,NHRC - Công ty Cổ phần Nova Hotels & Resorts,NHRC,Công ty cổ phần,Bất động sản,1.018E+12,Không áp dụng,932688711,932688711,"Số 2.01, Tầng 2, Khu Thương mại – Dịch vụ, Dự án Khu thương mại, dịch vụ, văn phòng, officetel và căn hộ tại số 08 đường Hoàng Minh Giám, Phường 09, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Lê Thị Việt Thu,,,
532,NHSC - Công ty CP Xuất nhập khẩu AgriS Ninh Hòa,BHS-NH,Công ty cổ phần,Sản xuất,6.075E+11,nhs.com.vn,2583620416,0258 3620143,"THÔN PHƯỚC LÂM, XÃ NINH XUÂN, THỊ XÃ NINH HÒA, TỈNH KHÁNH HÒA, VIỆT NAM",NGUYỄN QUỐC VIỆT,,,
533,NICC - Công ty cổ phần Đầu tư Nhơn Trạch,NIC,Công ty cổ phần,Bất động sản,6.6E+11,dongsaigon.vn,(84-251) 3561462 - 3561463,(84-251) 3561461,"Đường số 7 khu đô thị Đông Sài Gòn, xã Long Tân, huyện Nhơn Trạch, tỉnh Đồng Nai",Quách Văn Đức,,,
534,NKDC - Công ty Cổ phần Thương mại Dịch vụ Nhựa bao bì Kiến Đức,Công ty Cổ phần Thương mại Dịch vụ Nhựa bao bì Kiến Đức,Công ty cổ phần,Sản xuất,1E+11,innoplas.com.vn,837657130,837657133,"Lầu 1, Tòa nhà Tani – Office số 475 D Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú, TP. Hồ Chí Minh",Đinh Thị Phương Thảo,,,
535,NLAC - CÔNG TY CỔ PHẦN THỦY ĐIỆN NẬM LA,"NAMLA.,JSC",Công ty cổ phần,Sản xuất,3.15E+11,https://thuydiennamla.com.vn/,2123854600,2123854112,"Số 144, Đường Trường Chinh, Tổ 4, Phường Quyết Thắng, Thành phố Sơn La, Tỉnh Sơn La, Việt Nam",Vũ Ngọc Tú,,,
536,NLG - Công ty Cổ phần Đầu tư Nam Long,NLG CORP,Công ty cổ phần,Bất động sản,3.85075E+12,www.namlongvn.com,2854161718,2854161719,"6 NGUYỄN KHẮC VIỆN, P. TÂN PHÚ, Q. 7, TP. HỒ CHÍ MINH",Dương Tấn Vinh,,,
537,NLPC - CT TNHH NOVA LUCKY PALACE,NOVA LUCKY PALACE,Công ty trách nhiệm hữu hạn,Bất động sản,1E+11,Không có,932239682,932239682,"Phòng 702A Tầng 7, Tòa nhà CentrePoint, 106 Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Nguyễn Ngọc Bảo Ân,,,
538,NLSC - Công ty Cổ phần Phát triển Tầm nhìn Năng Lượng Sạch,NLS,Công ty cổ phần,Sản xuất,1265000000,https://www.bamboocap.com.vn/,983348998,84862991188,"Tỉnh lộ 639, thôn 8 Đông, xã Mỹ Thắng, huyện Phù Mỹ, tỉnh Bình Định",Phạm Minh Tuấn,,,
539,NPEC - CÔNG TY CỔ PHẦN ĐẦU TƯ NĂNG LƯỢNG NAM PHƯƠNG,CÔNG TY CỔ PHẦN ĐẦU TƯ NĂNG LƯỢNG NAM PHƯƠNG,Công ty cổ phần,Lĩnh vực khác,8E+11,Không có,2839292936,84 28 3929 2982,"F-02 Tầng 1, Khu phức hợp The Manor – Giai đoạn 2, số 89 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam.",Nguyễn Quang Thịnh,,,
540,NPHC - Công ty CP Quốc tế Ngàn Phố,NPI CORP,Công ty cổ phần,Lĩnh vực khác,1E+11,nganphocorp.com,918885151,2438385151,"Tầng 21, Tháp A, Tòa nhà Sông Đà, Quận Nam Từ Liêm, Hà Nội",Nguyễn Tuấn Anh,,,
541,NPIC - CTCP THỦY ĐIỆN NẬM PUNG - INTRACOM,CÔNG TY CỔ PHẦN THỦY ĐIỆN NẬM PUNG - INTRACOM,Công ty cổ phần,Sản xuất,1.2E+11,intracom.com.vn,2143820523,2143822668,"SỐ NHÀ 002 ĐƯỜNG PHAN HUY CHÚ, PHƯỜNG CỐC LẾU, TP LÀO CAI, TỈNH LÀO CAI",Đặng Ánh Hoàng,,,
542,NPMC - CT TNHH KHAI THÁC CHẾ BIẾN KHOÁNG SẢN NÚI PHÁO,NUIPHAO MINING,Công ty trách nhiệm hữu hạn,Sản xuất,1.07929E+13,https://masanhightechmaterials.com/vi/subsidiary/nui-phao-mining-company/,02803 824 063,02803 824 063,"Xóm Suối Cát, Xã An Khánh, Tỉnh Thái Nguyên, Việt Nam",,,,
543,NPPC - CTCP THỦY ĐIỆN NẬM PIA,SNP,Công ty cổ phần,Sản xuất,2.15E+11,thuydiennampia.com,2123856160,2123856160,"XÃ CHIỀNG HOA, TỈNH SƠN LA",Trương Đình An,,,
544,NQBC - Công ty Cổ phần Phát triển Bất động sản Nhật Quang,Nhat Quang PD Corp.,Công ty cổ phần,Bất động sản,1.95E+12,www.congtynhatquang.com,964349033,0286681 4618,Lầu 3 ACM Building 96 Cao Thắng Phường Bàn Cờ Thành phố Hồ Chí Minh Việt Nam,BÙI THỊ THU HẰNG; HỨA KIẾN QUỐC,,,
545,NRC - Công ty cổ phần tập đoàn Danh Khôi,TẬP ĐOÀN DANH KHÔI,Công ty cổ phần,Bất động sản,9.25978E+11,www.danhkhoi.com.vn,028 3622 1399,0,"Số 3 Trần Nhật Duật, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",Lê Thống Nhất,,,
546,NRCC - CÔNG TY TNHH NAM RẠCH CHIẾC,SOUTH RACH CHIEC,Công ty trách nhiệm hữu hạn,Bất động sản,8.27E+11,palm-city.com.vn,2838218000,2828213541,"Tầng 18, tháp A, Khu Thương mại Dịch vụ kết hợp Nhà ở Cao tầng tại lô đất 1-13 thuộc Khu chức năng số 1 - Số 15, đường Trần Bạch Đằng, Phường Thủ Thiêm, TP Thủ Đức, TPHCM, Việt Nam",Đào Duy Hải,,,
547,NS3 - CTCP Sản xuất Kinh doanh Nước sạch số 3 Hà Nội,HAWACOM3.JSC,Công ty cổ phần,"Thương mại, dịch vụ",79199990000,http://nuocsachso3hn.vn,439333992,439332892,"Số 8C Đinh Công Tráng, Phường Phan Chu Trinh, Hoàn Kiếm, Hà Nội",Nguyễn Danh Hiếu; Trịnh Ba Duy,,,
548,NSIC - CTCP Chứng khoán Quốc gia,NSI,Công ty cổ phần,Kinh doanh chứng khoán,1E+12,www.nsi.com.vn,(024) 39445474,(024) 39445474,"Tầng 5, tòa nhà SamSora, 105 Chu Văn An, phường Yết Kiêu, quận Hà Đông, Hà Nội",Hồ Anh Dũng,,,
549,NSRC - Công ty TNHH Đầu Tư Địa Ốc Nova Saigon Royal,NOVA SAIGON ROYAL CO LTD,Công ty trách nhiệm hữu hạn,Bất động sản,3.52743E+12,Novasaigonroyal@gmail.com,932239682,932239682,"Số TS1.2.23, Tầng 2, Khối tháp TS1, Khu Thương Mại - Dịch vụ, văn phòng, officetel, Trung tâm Thương Mại Văn Phòng, officetel và căn hộ (Rivergate Residence) tại số 39-39B Bến Vân Đồn, Phường Xóm Chiếu, Thành Phố Hồ Chí Minh",BÙI ĐẠT CHƯƠNG,,,
550,NSTC - Công ty cổ phần North Star Holdings,"NSH.,JSC",Công ty cổ phần,Bất động sản,48000000000,Không có Website,988084134,0,"Tầng 4, Tòa nhà IP3 Imperial Plaza, 360 Giải Phóng, phường Phương Liệt, quận Thanh Xuân, Hà Nội",,,,
551,NSVC - CÔNG TY TNHH ĐẦU TƯ BẤT ĐỘNG SẢN NGÔI SAO VIỆT,NGÔI SAO VIỆT (HNX),Công ty trách nhiệm hữu hạn,Bất động sản,1.6E+12,www.tanhoangminh.com.vn,2435772308,2435772308,"Tầng 2, Tòa nhà D'. Le Pont D'or, Ngõ 30 Phố Mai Anh Tuấn, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",,,,
552,NTCC - Công ty TNHH Ngọc Thiên,"Ngoc Thien Limited Co., LTD",Công ty trách nhiệm hữu hạn,Sản xuất,6.72208E+11,https://kimloaimaungocthien.com,2213983012,2213983012,"Thôn Đông Mai, xã Chi Đạo, huyện Văn Lâm, tỉnh Hưng Yên",,,,
553,NTDC - CÔNG TY TNHH NO VA THẢO ĐIỀN,"NOVA TD CO., LTD",Công ty trách nhiệm hữu hạn,Bất động sản,7.8221E+12,0,932239682,0,"5.07 Khu chung cư kết hợp thương mại, Văn phòng lô X (Sunrise City North), sô 27 Nguyễn Hữu Thọ, Phường Tân Hưng, TP Hồ Chí Minh",Bùi Đạt Chương,,,
554,NTEC - CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN NĂNG LƯỢNG NINH THUẬN,NINH THUAN ENERGY INVESTMENT AND DEVELOPMENT COMPANY LIMITED,Công ty trách nhiệm hữu hạn,Sản xuất,5.814E+11,www.,904621262,904621262,"Đường Đoàn Khuê, Khu đô thị mới Đông Bắc (Khu K1), Phường Phan Rang, tỉnh Khánh Hòa",Lê Mạnh Hà,,,
555,NTGC - Công ty Cổ phần Tập đoàn Ngọc Thiên Global,Ngọc Thiên Global Group,Công ty cổ phần,Lĩnh vực khác,9.9E+11,htttps://ngocthienglobaljsc.com,949091111,2432002200,Thôn Đông Mai - Xã Chỉ Đạo - Huyện Văn Lâm - Tỉnh Hưng Yên,Trịnh Phan Thiên,,,
556,NTJC - Công ty Cổ phần Thời Đại Mới T&T,"New Times., JSC",Công ty cổ phần,Bất động sản,1.09995E+13,,962857134,0,"Tầng 1, The Grand Hanoi, số 22-24 phố Hàng Bài, Phường Cửa Nam, Thành phố Hà Nội, Việt Nam",Phùng Thị Minh,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB+,18/03/2026
557,NTLC - Công ty cổ phần đầu tư thương mại phát triển Nhất tín,Nhat Tin Logistics,Công ty cổ phần,Lĩnh vực khác,72040070000,www.ntlogistics.vn,2838113311,838117676,"18A, Cộng Hòa, Phường 12, Quận Tân Bình, Tp.Hồ Chí Minh",Nguyễn Văn Tú,,,
