STT,Ngày đăng tin,Tên DN,Mã TP,Tiền tệ,Kỳ hạn,Ngày phát hành,Ngày đáo hạn,Kỳ hạn còn lại (ngày),Khối lượng,Mệnh giá,Loại hình trả lãi,Loại lãi suất,Phương thức thanh toán lãi,Mua lại và hoán đổi,Thị trường phát hành,Lãi suất phát hành (%/năm),Tình trạng,Văn bản đính kèm,Code công ty,Loại hình,Ngành
1542,2022-08-15 00:00:00,VBAC - Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,VBACLH2229007,VNĐ,,08/10/2022,08/10/2029,,0,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,6.8,Hiệu lực,,VBAC ,Công ty trách nhiệm hữu hạn,Tổ chức tín dụng
1543,2022-10-24 00:00:00,H39C - Công ty Cổ phần Hưng Thịnh Investment,H39CH2225002,VNĐ,,08/10/2022,02/10/2025,,161750,1000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,H39C ,Công ty cổ phần,Bất động sản
1544,2022-10-31 00:00:00,NPMC - CT TNHH KHAI THÁC CHẾ BIẾN KHOÁNG SẢN NÚI PHÁO,NPMCB2227003,VNĐ,,26/10/2022,26/10/2027,,2100,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,NPMC ,Công ty trách nhiệm hữu hạn,Sản xuất
1545,2022-12-16 00:00:00,HDC - CÔNG TY CP PHÁT TRIỂN NHÀ BÀ RỊA- VŨNG TÀU,HDCH2224001,VNĐ,,31/10/2022,31/10/2024,,300,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,HDC ,Công ty cổ phần,Xây dựng
1546,2022-12-01 00:00:00,HBC - Công ty Cổ Phần Tập Đoàn Xây Dựng Hòa Bình,HBCH2225002,VNĐ,,31/10/2022,31/10/2025,,946,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,HBC ,Công ty trách nhiệm hữu hạn,Bất động sản
1547,2022-01-25 00:00:00,DVLC - CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN DRAGON VILLAGE,DVLCH2124005,VNĐ,,01/11/2022,01/11/2027,,8000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,DVLC ,Công ty cổ phần,Bất động sản
1548,2022-03-03 00:00:00,ATLC - Công ty TNHH Đầu tư cao su An Thịnh,ATLCH2224001,VNĐ,,02/11/2022,02/11/2024,,650000,1000000,Coupon,Kết hợp,Một lần khi đến hạn,Mua lại,,8.5,Hiệu lực,,ATLC ,Công ty trách nhiệm hữu hạn,Lĩnh vực khác
1549,2022-03-28 00:00:00,AGG - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN BÁT ĐỘNG SẢN AN GIA,AGGH2223001,VNĐ,,03/11/2022,03/11/2023,,2000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,AGG ,Công ty cổ phần,Bất động sản
1550,2022-05-23 00:00:00,ECHC - Công ty Cổ phần Encapital Holdings,ECHCH2223001,VNĐ,,05/11/2022,13/05/2024,,1300000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,ECHC ,Công ty cổ phần,Sản xuất
1551,2022-07-21 00:00:00,VCB - NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM,VCBH2237001,VNĐ,,07/11/2022,07/11/2037,,100,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,6.8,Hiệu lực,,VCB ,Công ty cổ phần,Tổ chức tín dụng
1552,2022-07-13 00:00:00,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDL2230015,VNĐ,,07/11/2022,07/11/2030,,1000,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Hoán đổi; Mua lại,,6.48,Hiệu lực,,BID ,Công ty cổ phần,Tổ chức tín dụng
1553,2022-07-19 00:00:00,MSFC - Công ty Tài chính TNHH MB Shinsei,MSFCLH2224004,VNĐ,,07/11/2022,07/11/2024,,500,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,6.7,Hiệu lực,,MSFC ,Công ty trách nhiệm hữu hạn,Tổ chức tín dụng
1554,2022-11-25 00:00:00,MSN - Công ty Cổ phần Tập đoàn Masan,MSNH2227007,VNĐ,,24/11/2022,24/11/2027,,1700,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,11.5,Hiệu lực,,MSN ,Công ty cổ phần,Lĩnh vực khác
1555,2022-12-01 00:00:00,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDLH2229031,VNĐ,,25/11/2022,25/11/2029,,400,100000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Hoán đổi; Mua lại,,8.75,Hiệu lực,,BID ,Công ty cổ phần,Tổ chức tín dụng
1556,2022-12-01 00:00:00,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDLH2230032,VNĐ,,25/11/2022,,,0,100000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Hoán đổi; Mua lại,,8.8,Hiệu lực,,BID ,Công ty cổ phần,Tổ chức tín dụng
1557,2022-12-01 00:00:00,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDLH2228030,VNĐ,,25/11/2022,25/11/2028,,447,100000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Hoán đổi; Mua lại,,8.7,Hiệu lực,,BID ,Công ty cổ phần,Tổ chức tín dụng
1558,2023-01-03 00:00:00,VDS - CTCP Chứng khoán Rồng Việt,VDSH2223010,VNĐ,,29/11/2022,29/11/2023,,1423,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.15,Hiệu lực,,VDS ,Công ty cổ phần,Kinh doanh chứng khoán
1559,2022-02-11 00:00:00,APS - Công ty Cổ phần Chứng khoán Châu Á Thái Bình Dương,APSH2225002,VNĐ,,01/12/2022,01/12/2025,,3000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,APS ,Công ty cổ phần,Kinh doanh chứng khoán
1560,2022-02-11 00:00:00,APS - Công ty Cổ phần Chứng khoán Châu Á Thái Bình Dương,APSH2225001,VNĐ,,01/12/2022,01/12/2025,,43310,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,12.0,Hiệu lực,,APS ,Công ty cổ phần,Kinh doanh chứng khoán
1561,2022-02-21 00:00:00,HPX - CÔNG TY CỔ PHẦN ĐẦU TƯ HẢI PHÁT,HPXH2223001,VNĐ,,01/12/2022,01/12/2023,,3500000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hết hiệu lực,,HPX ,Công ty cổ phần,Bất động sản
1562,2022-09-14 00:00:00,HPX - CÔNG TY CỔ PHẦN ĐẦU TƯ HẢI PHÁT,HPXH2224001,VNĐ,,01/12/2022,01/12/2024,,3500000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hiệu lực,,HPX ,Công ty cổ phần,Bất động sản
1563,2022-04-14 00:00:00,MBB - NGÂN HÀNG TMCP QUÂN ĐỘI,MBBL2225003,VNĐ,,04/12/2022,04/12/2025,,700,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.8,Hiệu lực,,MBB ,Công ty cổ phần,Tổ chức tín dụng
1564,2022-05-19 00:00:00,MBB - NGÂN HÀNG TMCP QUÂN ĐỘI,MBBL2229009,VNĐ,,05/12/2022,05/12/2029,,10000,10000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,6.83,Hiệu lực,,MBB ,Công ty cổ phần,Tổ chức tín dụng
1565,2022-05-20 00:00:00,SSB - Ngân hàng TMCP Đông Nam Á,SSBH2224003,VNĐ,,05/12/2022,05/12/2024,,199,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,4.2,Hiệu lực,,SSB ,Công ty cổ phần,Tổ chức tín dụng
1566,2022-05-26 00:00:00,AGG - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN BÁT ĐỘNG SẢN AN GIA,AGGH2224003,VNĐ,,05/12/2022,05/12/2024,,300,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,AGG ,Công ty cổ phần,Bất động sản
1567,2022-05-13 00:00:00,OCB - Ngân hàng TMCP Phương Đông,OCBL2225002,VNĐ,,05/12/2022,05/12/2025,,600,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,4.1,Hiệu lực,,OCB ,Công ty cổ phần,Tổ chức tín dụng
1568,2022-07-08 00:00:00,IMGC - CÔNG TY CỔ PHẦN ĐẦU TƯ IMG HUẾ,IMGCH2226001,VNĐ,,05/12/2022,15/11/2026,,1158,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,,IMGC ,Công ty cổ phần,Bất động sản
1569,2022-05-20 00:00:00,TCB - Ngân hàng TMCP Kỹ thương Việt Nam,TCBL2225003,VNĐ,,05/12/2022,05/12/2025,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.5,Hiệu lực,,TCB ,Công ty cổ phần,Tổ chức tín dụng
1570,2022-09-22 00:00:00,NKDC - Công ty Cổ phần Thương mại Dịch vụ Nhựa bao bì Kiến Đức,NKDCH2225001,VNĐ,,07/12/2022,07/12/2025,,20000,1000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.0,Hiệu lực,,NKDC ,Công ty cổ phần,Sản xuất
1571,2022-11-02 00:00:00,DVCC - CÔNG TY CP THƯƠNG MẠI VÀ DỊCH VỤ DANH VIỆT,DVCCH2224001,VNĐ,,08/12/2022,08/12/2024,,442,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,DVCC ,Công ty cổ phần,Bất động sản
1572,2022-08-17 00:00:00,FNFC - Công ty Cổ phần Fuji Nutri Food,FNFCH2223001,VNĐ,,08/12/2022,08/12/2024,,1000000,1000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hiệu lực,,FNFC ,Công ty cổ phần,Bất động sản
1573,2022-09-13 00:00:00,ABB - Ngân hàng TMCP An Bình (ABBANK),ABBL2225002,VNĐ,,09/12/2022,09/12/2025,,300,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,5.8,Hiệu lực,,ABB ,Công ty cổ phần,Tổ chức tín dụng
1574,2022-09-20 00:00:00,EVF - Công ty Tài chính cổ phần Điện Lực,EVFH2224002,VNĐ,,09/12/2022,09/12/2024,,100,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,7.2,Hiệu lực,,EVF ,Công ty cổ phần,Tổ chức tín dụng
1575,2022-10-17 00:00:00,VDS - CTCP Chứng khoán Rồng Việt,VDSH2223008,VNĐ,,09/12/2022,09/12/2023,,23300,1000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.3,Hiệu lực,,VDS ,Công ty cổ phần,Kinh doanh chứng khoán
1576,2022-12-14 00:00:00,TENC - Công ty cổ phần Dược phẩm Tenamyd,TENCH2223001,VNĐ,,12/12/2022,12/12/2023,,200,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại; None,,14.0,Hiệu lực,,TENC ,Công ty cổ phần,Lĩnh vực khác
1577,2022-12-14 00:00:00,TENC - Công ty cổ phần Dược phẩm Tenamyd,TENCH2224002,VNĐ,,12/12/2022,12/12/2024,,300,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại; None,,14.0,Hiệu lực,,TENC ,Công ty cổ phần,Lĩnh vực khác
1578,2022-12-14 00:00:00,TENC - Công ty cổ phần Dược phẩm Tenamyd,TENCH2225003,VNĐ,,12/12/2022,12/12/2025,,300,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại; None,,14.0,Hiệu lực,,TENC ,Công ty cổ phần,Lĩnh vực khác
1579,2022-12-14 00:00:00,TENC - Công ty cổ phần Dược phẩm Tenamyd,TENCH2226004,VNĐ,,12/12/2022,12/12/2026,,300,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại; None,,14.0,Hiệu lực,,TENC ,Công ty cổ phần,Lĩnh vực khác
1580,2022-12-14 00:00:00,TENC - Công ty cổ phần Dược phẩm Tenamyd,TENCH2227005,VNĐ,,12/12/2022,12/12/2027,,200,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại; None,,14.0,Hiệu lực,,TENC ,Công ty cổ phần,Lĩnh vực khác
1581,2022-12-14 00:00:00,TENC - Công ty cổ phần Dược phẩm Tenamyd,TENCH2228006,VNĐ,,12/12/2022,12/12/2028,,200,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại; None,,14.0,Hiệu lực,,TENC ,Công ty cổ phần,Lĩnh vực khác
1582,2022-12-16 00:00:00,NLG - Công ty Cổ phần Đầu tư Nam Long,NLGH2229002,VNĐ,,13/12/2022,28/03/2029,,500,1000000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,12.94,Hiệu lực,,NLG ,Công ty cổ phần,Bất động sản
1583,2023-01-04 00:00:00,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDL2242034,VNĐ,,27/12/2022,27/12/2042,,100,1000000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Hoán đổi; Mua lại,,8.5,Hiệu lực,,BID ,Công ty cổ phần,Tổ chức tín dụng
1584,2023-01-04 00:00:00,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDLH2228035,VNĐ,,28/12/2022,28/12/2028,,31695,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Hoán đổi; Mua lại,,9.1,Hiệu lực,,BID ,Công ty cổ phần,Tổ chức tín dụng
1585,2023-01-27 00:00:00,VDS - CTCP Chứng khoán Rồng Việt,VDSH2223011,VNĐ,,28/12/2022,28/12/2023,,2027,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.15,Hiệu lực,,VDS ,Công ty cổ phần,Kinh doanh chứng khoán
1586,2022-12-29 00:00:00,AP1C - Công ty CP Khu Công nghiệp Kỹ Thuật Cao An Phát 1,AP1CH2227001,VNĐ,,29/12/2022,29/12/2027,,1500,100000000,Coupon,Cố định,Một lần khi đến hạn,Mua lại,,6.0,Hiệu lực,,AP1C ,Công ty cổ phần,Bất động sản
1587,2023-01-13 00:00:00,HDC - CÔNG TY CP PHÁT TRIỂN NHÀ BÀ RỊA- VŨNG TÀU,HDCH2224002,VNĐ,,30/12/2022,30/12/2024,,700,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.5,Hiệu lực,,HDC ,Công ty cổ phần,Xây dựng
1588,2022-12-30 00:00:00,MBB - NGÂN HÀNG TMCP QUÂN ĐỘI,MBBL2229021,VNĐ,,30/12/2022,30/12/2029,,200,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,8.8,Hiệu lực,,MBB ,Công ty cổ phần,Tổ chức tín dụng
1589,2023-02-03 00:00:00,SAOC - CÔNG TY CỔ PHẦN XÂY DỰNG SAO VÀNG TÂY ĐÔ,SAOCH2224001,VNĐ,,31/12/2022,,,0,100000000,Coupon,Cố định,,Mua lại,,13.0,Hiệu lực,,SAOC ,Công ty cổ phần,Xây dựng
1590,2023-08-07 00:00:00,VJC - CÔNG TY CỔ PHẦN HÀNG KHÔNG VIETJET,VJCH2328009,VNĐ,,08/01/2023,08/01/2028,,3000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,VJC ,Công ty cổ phần,Bất động sản
1591,2023-08-09 00:00:00,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDL2343005,VNĐ,,08/01/2023,08/01/2043,,500,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Hoán đổi; Mua lại,,7.7,Hiệu lực,,BID ,Công ty cổ phần,Tổ chức tín dụng
1592,2023-12-06 00:00:00,MSB - Ngân hàng TMCP Hàng Hải Việt Nam,MSBL2326004,VNĐ,,12/01/2023,12/01/2026,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,5.8,Hiệu lực,,MSB ,Công ty cổ phần,Tổ chức tín dụng
1593,2023-12-08 00:00:00,NAB - Ngân hàng Thương mại Cổ phần Nam Á,NABL2330004,VNĐ,,12/01/2023,12/01/2030,,4000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,7.5,Hiệu lực,,NAB ,Công ty cổ phần,Tổ chức tín dụng
1594,2023-12-08 00:00:00,TPB - Ngân hàng Thương mại cổ phần Tiên Phong,TPBL2333015,VNĐ,,12/01/2023,12/01/2033,,4500,100000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,7.03,Hiệu lực,,TPB ,Công ty cổ phần,Tổ chức tín dụng
1595,2023-12-07 00:00:00,VJC - CÔNG TY CỔ PHẦN HÀNG KHÔNG VIETJET,VJCH2328028,VNĐ,,12/01/2023,12/01/2028,,3000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,VJC ,Công ty cổ phần,Bất động sản
1596,2023-02-03 00:00:00,PVIC - Công ty Cổ phần Đầu tư Phan Vũ,PVICH2328001,VNĐ,,30/01/2023,30/01/2028,,110,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,PVIC ,Công ty cổ phần,Xây dựng
1597,2023-08-07 00:00:00,MSB - Ngân hàng TMCP Hàng Hải Việt Nam,MSBL2326002,VNĐ,,08/02/2023,08/02/2026,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,7.5,Hiệu lực,,MSB ,Công ty cổ phần,Tổ chức tín dụng
1598,2023-10-11 00:00:00,ABB - Ngân hàng TMCP An Bình (ABBANK),ABBL2325003,VNĐ,,10/02/2023,10/02/2025,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,6.4,Hiệu lực,,ABB ,Công ty cổ phần,Tổ chức tín dụng
1599,2023-10-09 00:00:00,ACB - Ngân hàng TMCP Á Châu,ACBL2326007,VNĐ,,10/02/2023,10/02/2026,,5000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,6.3,Hiệu lực,,ACB ,Công ty cổ phần,Tổ chức tín dụng
1600,2023-04-05 00:00:00,VDS - CTCP Chứng khoán Rồng Việt,VDSH2324001,VNĐ,,03/03/2023,03/03/2024,,3111,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.15,Hiệu lực,,VDS ,Công ty cổ phần,Kinh doanh chứng khoán
1601,2023-12-27 00:00:00,ORS - Công ty Cổ phần Chứng khoán Tiên Phong,ORSH2328001,VNĐ,,07/03/2023,07/03/2028,,10000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,ORS ,Công ty cổ phần,Kinh doanh chứng khoán
1602,2023-10-05 00:00:00,MBB - NGÂN HÀNG TMCP QUÂN ĐỘI,MBBL2330003,VNĐ,,10/03/2023,10/03/2030,,50,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,,,7.0,Hiệu lực,,MBB ,Công ty cổ phần,Tổ chức tín dụng
1603,2023-10-06 00:00:00,VJC - CÔNG TY CỔ PHẦN HÀNG KHÔNG VIETJET,VJCH2328021,VNĐ,,10/03/2023,10/03/2028,,2000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,VJC ,Công ty cổ phần,Bất động sản
1604,2023-11-15 00:00:00,AQCC - Công ty TNHH Dịch vụ và Tư vấn xây dựng Anh Quân,AQCCH2328001,VNĐ,,11/03/2023,11/03/2028,,14950,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,14.0,Hiệu lực,,AQCC ,Công ty trách nhiệm hữu hạn,Bất động sản
1605,2023-03-17 00:00:00,LLFC - Công ty TNHH Kinh doanh nội thất Luxury Living,LLFCB2328001,VNĐ,,13/03/2023,13/03/2028,,48000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.0,Hiệu lực,,LLFC ,Công ty trách nhiệm hữu hạn,Bất động sản
1606,2023-08-21 00:00:00,SPNC - CTCP ĐẦU TƯ KINH DOANH VÀ PHÁT TRIỂN ĐÔ THỊ NGÔI SAO PHƯƠNG NAM,SPNCB2324001,VNĐ,,16/03/2023,16/09/2024,,46950,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,,,13.0,Hiệu lực,,SPNC ,Công ty cổ phần,Bất động sản
1607,2023-03-21 00:00:00,HIDC - Công ty TNHH Đầu tư và Phát triển Đô thị Hưng Yên,HIDCB2324001,VNĐ,,16/03/2023,16/03/2024,,44500,100000000,Zero coupon,,,Mua lại,,0.0,Hiệu lực,,HIDC ,Công ty trách nhiệm hữu hạn,Bất động sản
1608,2023-03-28 00:00:00,BAF - Công ty Cổ phần Nông nghiệp BAF Việt Nam,BAFH2330001,VNĐ,,16/03/2023,16/03/2030,,600,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,5.25,Hiệu lực,,BAF ,Công ty cổ phần,Sản xuất
1609,2023-03-22 00:00:00,HIDC - Công ty TNHH Đầu tư và Phát triển Đô thị Hưng Yên,HIDCB2324002,VNĐ,,16/03/2023,16/03/2024,,27500,100000000,Zero coupon,,,Mua lại,,0.0,Hiệu lực,,HIDC ,Công ty trách nhiệm hữu hạn,Bất động sản
1610,2023-06-08 00:00:00,TDG - Công ty Cổ phần Đầu tư TDG Global,TDGH2326001,VNĐ,,24/03/2023,24/03/2026,,400,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,13.7,Hiệu lực,,TDG ,Công ty cổ phần,Lĩnh vực khác
1611,2023-04-05 00:00:00,ECHC - Công ty Cổ phần Encapital Holdings,ECHCH2324001,VNĐ,,30/03/2023,30/03/2024,,1200,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,ECHC ,Công ty cổ phần,Sản xuất
1612,2023-07-11 00:00:00,VJC - CÔNG TY CỔ PHẦN HÀNG KHÔNG VIETJET,VJCH2328005,VNĐ,,07/04/2023,07/04/2028,,3000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,VJC ,Công ty cổ phần,Bất động sản
1613,2023-07-05 00:00:00,TCSC - CTCP chứng khoán Kỹ thương,TCSCH2325002,VNĐ,,07/04/2023,07/04/2025,,4000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.4,Hiệu lực,,TCSC ,Công ty cổ phần,Kinh doanh chứng khoán
1614,2023-08-09 00:00:00,VJC - CÔNG TY CỔ PHẦN HÀNG KHÔNG VIETJET,VJCH2328010,VNĐ,,08/04/2023,08/04/2028,,3000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,VJC ,Công ty cổ phần,Bất động sản
1615,2023-12-11 00:00:00,TPB - Ngân hàng Thương mại cổ phần Tiên Phong,TPBL2325016,VNĐ,,12/04/2023,12/04/2025,,15000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,5.8,Hiệu lực,,TPB ,Công ty cổ phần,Tổ chức tín dụng
1616,2024-01-09 00:00:00,SGGC - Công ty Cổ phần Sài Gòn Capital,SGGCH2328004,VNĐ,,12/04/2023,12/04/2028,,10000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,12.5,Hiệu lực,,SGGC ,Công ty cổ phần,Bất động sản
1617,2023-04-27 00:00:00,NSTC - Công ty cổ phần North Star Holdings,NSTCH2324001,VNĐ,,14/04/2023,14/08/2024,,6710,100000000,Coupon,Kết hợp,Khác,Mua lại,,14.0,Hiệu lực,,NSTC ,Công ty cổ phần,Bất động sản
1618,2023-06-06 00:00:00,TCSC - CTCP chứng khoán Kỹ thương,TCSCH2325001,VNĐ,,06/05/2023,06/05/2025,,3000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,TCSC ,Công ty cổ phần,Kinh doanh chứng khoán
1619,2023-09-28 00:00:00,BCM - TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP,BCMH2328001,VNĐ,,07/05/2023,07/05/2028,,20000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,BCM ,Công ty cổ phần,Bất động sản
1620,2023-07-11 00:00:00,NPMC - CT TNHH KHAI THÁC CHẾ BIẾN KHOÁNG SẢN NÚI PHÁO,NPMCB2328006,VNĐ,,07/05/2023,07/05/2028,,5000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,,,9.0,Hiệu lực,,NPMC ,Công ty trách nhiệm hữu hạn,Sản xuất
1621,2023-07-11 00:00:00,NPMC - CT TNHH KHAI THÁC CHẾ BIẾN KHOÁNG SẢN NÚI PHÁO,NPMCB2328005,VNĐ,,07/05/2023,07/05/2028,,5000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,,,9.0,Hiệu lực,,NPMC ,Công ty trách nhiệm hữu hạn,Sản xuất
1622,2023-10-25 00:00:00,SGGC - Công ty Cổ phần Sài Gòn Capital,SGGCH2328002,VNĐ,,10/05/2023,10/05/2028,,10000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,12.5,Hiệu lực,,SGGC ,Công ty cổ phần,Bất động sản
1623,2023-12-12 00:00:00,TPB - Ngân hàng Thương mại cổ phần Tiên Phong,TPBL2333017,VNĐ,,12/05/2023,12/05/2033,,743,100000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,7.03,Hiệu lực,,TPB ,Công ty cổ phần,Tổ chức tín dụng
1624,2023-12-28 00:00:00,TMCC - Công ty TNHH Khu đô thị mới Trung Minh,TMCCH2328004,VNĐ,,12/05/2023,12/05/2028,,3000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,12.5,Hiệu lực,,TMCC ,Công ty trách nhiệm hữu hạn,Bất động sản
1625,2023-08-24 00:00:00,PAMC - Công ty TNHH MTV Quản lý Nợ và Khai thác Tài sản Ngân hàng TMCP Đại chúng Việt Nam,PAMCH2324001,VNĐ,,17/05/2023,17/11/2024,,1600,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,PAMC ,Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ"
1626,2023-08-11 00:00:00,NSIC - CTCP Chứng khoán Quốc gia,NSICH2324001,VNĐ,,18/05/2023,,,0,100000000,Coupon,Cố định,,Mua lại,,12.5,Hiệu lực,,NSIC ,Công ty cổ phần,Kinh doanh chứng khoán
1627,2023-06-01 00:00:00,NPMC - CT TNHH KHAI THÁC CHẾ BIẾN KHOÁNG SẢN NÚI PHÁO,NPMCB2328002,VNĐ,,25/05/2023,25/05/2028,,7200,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,,,9.0,Hiệu lực,,NPMC ,Công ty trách nhiệm hữu hạn,Sản xuất
